ID_encuesta,Relacion_MarNCP,Ocu_agrupado,Encuestador,Sitio,Residencia_costa,Distancia_residenciaKm,Edad,Genero,Ingresos,Integrantes_familia,Nota_conocimiento,Participacion_avistamiento,AmbOrigen,Ambiente_bienestar,Ambiente,Agrado,Desagrado,Frec_visita,Frec_infancia,Conoce_especie,Especie,Nombre_especie,Beneficio_sp_amb,FrecPercibida,Origen,Ingreso_percap,AgradoCH,DesagradoCH,Conoce_nombre,Conoce_origen
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,7,Urbano,2,5,0.04,0,1,Zonotrichia,CHINCOL,5,7,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Larus,GAVIOTA DOMINICANA,3.5,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Columba,PALOMA,3.5,2,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Pele,PELICANO,6,5,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Phalacrocorax,CORMORAN,7,6,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Turdus,ZORZAL,6,2,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaNat,2,5,0.04,0,1,Zonotrichia,CHINCOL,5,4,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Larus,GAVIOTA DOMINICANA,3.5,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Columba,PALOMA,3.5,4,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Pele,PELICANO,6,4,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Phalacrocorax,CORMORAN,7,5,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Turdus,ZORZAL,6,1,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,PlayaInt,2,5,1,1,1,Zonotrichia,CHINCOL,5,2,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Larus,GAVIOTA DOMINICANA,3.5,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Columba,PALOMA,3.5,3,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Pele,PELICANO,NA,6,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Phalacrocorax,CORMORAN,7,6,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Turdus,ZORZAL,NA,1,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaNat,2,5,1,1,1,Zonotrichia,CHINCOL,5,5,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Larus,GAVIOTA DOMINICANA,3.5,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Columba,PALOMA,3.5,4,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Pele,PELICANO,6,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Phalacrocorax,CORMORAN,7,7,Marino,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Turdus,ZORZAL,NA,1,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
DC07071981,NO MATERIAL- Exp. físicas y psicológicas,Profesional,GIORGIA,CASA,Reside en la costa,0.35714285714285715,38,Masculino,1925000,2,5,0,VERDE,6,RocaInt,2,5,0.25,0,1,Zonotrichia,CHINCOL,5,4,Terrestre,962500,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,1,Larus,GAVIOTA,5,1,Marino,200000,NA,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,1,Columba,PALOMA,7,4,Terrestre,200000,NA,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,1,Pele,PELICANO,5,0,Marino,200000,NA,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,1,Phalacrocorax,PATO NEGRO,5,4,Marino,200000,NA,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,0,Turdus,NO SABE,5,6,Terrestre,200000,NA,Comportamiento,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,7,Verde,6,2,0.25,-1,0,Zonotrichia,NO SABE,NA,NA,NA,200000,NA,Comportamiento,0,0
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,1,Larus,GAVIOTA,2,1,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,1,Columba,PALOMA,4,7,Terrestre,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,1,Pele,PELICANO,1,1,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,1,Phalacrocorax,PATO NEGRO,1,1,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,0,Turdus,NO SABE,3,2,Terrestre,200000,Comportamiento,Comportamiento,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,3,Urbano,2,2,1,0,0,Zonotrichia,NO SABE,NA,NA,NA,200000,Comportamiento,Comportamiento,0,0
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,1,Larus,GAVIOTA,7,4,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,1,Columba,PALOMA,5,2,Terrestre,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,1,Pele,PELICANO,7,1,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,1,Phalacrocorax,PATO NEGRO,5,3,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,0,Turdus,NO SABE,4,2,Terrestre,200000,Comportamiento,Nada le desagrada,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaNat,2,5,0.04,1,0,Zonotrichia,NO SABE,NA,NA,NA,200000,Comportamiento,Nada le desagrada,0,0
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,1,Larus,GAVIOTA,7,7,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,1,Columba,PALOMA,1,2,Terrestre,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,1,Pele,PELICANO,7,1,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,1,Phalacrocorax,PATO NEGRO,2,2,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,0,Turdus,NO SABE,1,1,Terrestre,200000,Comportamiento,Nada le desagrada,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,5,PlayaInt,2,5,1,1,0,Zonotrichia,NO SABE,NA,NA,NA,200000,Comportamiento,Nada le desagrada,0,0
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,1,Larus,GAVIOTA,7,5,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,1,Columba,PALOMA,3,1,Terrestre,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,1,Pele,PELICANO,NA,5,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,1,Phalacrocorax,PATO NEGRO,6,0,Marino,200000,Comportamiento,Comportamiento,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,0,Turdus,NO SABE,NA,0,Terrestre,200000,Comportamiento,Comportamiento,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaNat,2,2,1,1,0,Zonotrichia,NO SABE,NA,NA,NA,200000,Comportamiento,Comportamiento,0,0
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,1,Larus,GAVIOTA,6,2,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,1,Columba,PALOMA,2,4,Terrestre,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,1,Pele,PELICANO,6,7,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,1,Phalacrocorax,PATO NEGRO,2,1,Marino,200000,Comportamiento,Nada le desagrada,1,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,0,Turdus,NO SABE,NA,1,Terrestre,200000,Comportamiento,Nada le desagrada,0,1
NA21094,NO MATERIAL- Exp. físicas y psicológicas,Independiente,GIORGIA,LAGUNA VERDE,Reside en la costa,1,24,Femenino,1000000,5,4,0.25,PLAYA NATURAL,6,RocaInt,2,5,0.25,-1,0,Zonotrichia,NO SABE,NA,NA,NA,200000,Comportamiento,Nada le desagrada,0,0
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,1,Larus,GAVIOTA,NA,NA,Marino,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,1,Columba,PALOMA,NA,NA,Terrestre,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,1,Pele,PELICANO,NA,NA,Marino,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,1,Phalacrocorax,NO SABE,NA,NA,Marino,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,0,Turdus,NO SABE,NA,NA,Terrestre,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Verde,5,2,0.25,0,1,Zonotrichia,GORRION,NA,NA,Terrestre,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,1,Larus,GAVIOTA,NA,NA,Marino,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,1,Columba,PALOMA,1,7,Terrestre,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,1,Pele,PELICANO,NA,NA,Marino,NA,Nada le agrada,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,1,Phalacrocorax,NO SABE,NA,NA,Marino,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,0,Turdus,NO SABE,NA,NA,Terrestre,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,1,Urbano,5,2,0.25,0,1,Zonotrichia,GORRION,NA,NA,Terrestre,NA,Nada le agrada,Comportamiento,0,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,3,PlayaNat,1,2,0.04,0,1,Larus,GAVIOTA,2,7,Marino,NA,Estética,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,3,PlayaNat,1,2,0.04,0,1,Columba,PALOMA,NA,NA,Terrestre,NA,Estética,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,3,PlayaNat,1,2,0.04,0,1,Pele,PELICANO,5,2,Marino,NA,Estética,Comportamiento,1,1
AU1509,NO MATERIAL- Exp. físicas y psicológicas,Estudiante,GIORGIA,PLAYA AMARILLA,No reside en la costa,0.0196078431372549,25,Femenino,150000,NA,1,0,PLAYA INTERVENIDA,3,PlayaNat,1,2,0.04,0,1,Phalacrocorax,NO SABE,6,2,Marino,NA,Estética,Comportamiento,0,1
